Device ID,Location,City,State,Zip Code,Display Name,Machine ID,Tags,Mobile (#),Mobile (%),Mobile,Cash,Card,Total,Fee,Discounts,Loyalty,Promotions (!),Net
20004722,"
3225 Lockwood Blvd
Oviedo
FL
32765
",Oviedo,FL,32765,Hagerty HS Teacher - Snack Machine #14,2158,promo,2,19.15,$2.25,$9.50,$0.00,$11.75,$0.12,$0.00,$0.00,$0.00,$2.13
20004723,"
1001 Jetstream Drive
Orlando
FL
32824
",Orlando,FL,32824,Old Dominion - Snack Main Breakroom,2086,promo,19,42.59,$23.00,$31.00,$0.00,$54.00,$1.24,$0.00,$0.00,$0.00,$21.76
20004725,"
1001 Jetstream Drive
Longwood
FL
32750
",Longwood,FL,32750,Old Dominion - Trucker Snack,3098,promo,12,43.46,$16.60,$21.60,$0.00,$38.20,$0.89,$0.00,$0.00,$0.00,$15.71
20004726,"
3550 North Goldenrod Rd
Winter Park
FL
32792
",Winter Park,FL,32792,Threshold - Beverage Machine,2022,promo,7,7.02,$6.00,$79.50,$0.00,$85.50,$0.32,$0.00,$0.00,$0.00,$5.68
20004727,"
1001 Jetstream Drive
Orlando
FL
32824
",Orlando,FL,32824,Old Dominion - Beverage Main Breakroom,3036,promo,18,75.38,$37.50,$12.25,$0.00,$49.75,$2.10,$0.00,$0.00,$0.00,$35.40
20004728,"
2600 Maitland Center Pkwy
Maitland
FL
32751
",Maitland,FL,32751,iHeart Media - Snack Machine 4th FL,3089,promo,9,32.26,$10.00,$21.00,$0.00,$31.00,$0.53,$0.00,$0.00,$0.00,$9.47
20004729,"
1496 East Buena Vista Dr
Lake Bunea Vista
FL
32830
",Lake Bunea Vista,FL,32830,Reedy Creek Parking Garage - Snack Machine,3043,promo,53,35.72,$66.00,$118.75,$0.00,$184.75,$3.55,$3.25,$0.00,$0.00,$59.20
20004730,"
201 East Pine Street
Orlando
FL
32801
",Orlando,FL,32801,Greenspoon Marder - Beverage Machine,3062,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
20004731,"
Warehouse
Longwood
FL
32750
",Longwood,FL,32750,Removed From Northrop Grumman Beverage Machine,4099,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
20004732,"
1033 Semoran Blvd
Casselberry
FL
32707
",Casselberry,FL,32707,Fedex Bennet - Beverage Machine,2056,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
20004733,"
1033 Semoran Blvd
Orlando
FL
32803
",Orlando,FL,32803,Fedex Bennet - Snack Machine,2088,,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
20004734,"
5175 West Irlo Bronson Memorial Hwy
Kissimmee
FL
34746
",Kissimmee,FL,34746,Camping World - Beverage Machine,2277,promo,2,,$0.00,$11.00,$0.00,$11.00,$0.05,$0.00,$0.00,$0.00,-$0.05
20004903,"
9901 Ringhaver Dr
Orlando
FL
",Orlando,FL,,Ring Power - Beverage Machine Track Shop,2104,promo,24,82.76,$36.00,$7.50,$0.00,$43.50,$1.92,$0.00,$0.00,$0.00,$34.08
20004904,"
9901 Ringhaver Dr
Orlando
FL
",Orlando,FL,,Ring Power - Snack Machine Office Parts,2032,promo,7,17.85,$5.65,$26.00,$0.00,$31.65,$0.36,$0.00,$0.00,$0.00,$5.29
20004905,"
800 Trafalgar Ct
Maitland
FL
32751
",Maitland,FL,32751,FFVA - Snack Machine,2002,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
20004906,"
9901 Ringhaver Dr
Orlando
FL
",Orlando,FL,,Ring Power - Pepsi Machine Rental Office,2147,promo,8,16.67,$12.00,$60.00,$0.00,$72.00,$0.64,$1.50,$0.00,$0.00,$9.86
