Display Name,Mobile,Discounts,Fee,Net,Total
AKT - Beverage Machine,$9.75,$1.25,$0.51,$7.99,$8.50
Adcomm - Coke Machine,$5.00,,$0.27,$4.73,
Adcomm - Pepsi Machine,$6.00,,$0.32,$5.68,
Adcomm - Snack Machine,$6.00,,$0.33,$5.67,$17.00
Allstate - Beverage Machine,$3.75,,$0.20,$3.55,
Allstate - Snack Machine,$1.00,,$0.05,$0.95,$4.75
Altamonte Lakeside - Beverage Machine,$3.00,,$0.15,$2.85,
Altamonte Lakeside - Snack Machine,$9.50,,$0.52,$8.98,$12.50
Avella - Pepsi Machine,$12.00,,$0.88,$11.12,
Avella - Snack Machine,$6.25,,$0.35,$5.90,$18.25
Bank of NY LM - Beverage Machine 4th FL,$1.50,,$0.08,$1.42,
Bank of NY LM - GlassFront Machine 3rd FL,$6.00,,$0.32,$5.68,$7.50
Bank of NY Rouse - Beverage Machine 3rd FL,$11.25,,$0.60,$10.65,
Bank of NY Rouse - Snack Machine 3rd FL,$18.30,$0.75,$0.74,$16.81,$28.80
CDM - Beverage Machine 3rd FL,$3.40,,$0.20,$3.20,
CDM - Snack Machine 3rd FL,$12.60,,$0.66,$11.94,$16.00
Center Pointe 1 -  Snack Machine,$2.75,,$0.14,$2.61,$2.75
Center Pointe 2 - Beverage Machine,$12.50,,$0.63,$11.87,
Center Pointe 2 - Snack Machine,$4.25,,$0.23,$4.02,$16.75
Central FL Chrysler - GlassFront Machine Showroom,$5.00,,$0.28,$4.72,
Central FL Chrysler - Snack Machine 2nd FL Employee,$1.75,,$0.09,$1.66,
Central FL Chrysler - Snack Machine Maintenance,$3.00,,$0.15,$2.85,$9.75
Coca-Cola Apopka - Snack Machine Receiving Office,$4.00,,$0.20,$3.80,$4.00
Cuhaci & Peterson - Snack Machine,$24.55,,$1.34,$23.21,$24.55
DAVE School - Beverage Machine 1st FL,$4.25,,$0.25,$4.00,
DAVE School - Beverage Machine 2nd FL,$14.85,,$0.81,$14.04,
DAVE School - GlassFront Machine 3rd FL,$1.50,,$0.08,$1.42,
DAVE School - GlassFront Machine 3rd FL,$3.75,,$0.21,$3.54,
DAVE School - Snack Machine 2nd FL,$6.50,,$0.34,$6.16,
