Display Name,Mobile,Discounts,Fee,Net,Total
DAVE School - Snack Machine 3rd FL,$2.50,,$0.14,$2.36,$33.35
DBKMSN - Combo Machine 2nd FL,$17.75,,$0.96,$16.79,$17.75
DBKSMN - Snack Machine 2nd FL,$2.00,,$0.10,$1.90,$2.00
EZ Car Rental - Snack Machine,$5.00,,$0.25,$4.75,$5.00
Fast Mile - Beverage Machine,$52.50,$7.50,$2.22,$42.78,
Fast Mile - Snack Machine,$22.50,,$0.90,$21.60,
Fast Mile - Snack Machine,$22.50,,$0.90,$21.60,$67.50
Fedex Sand Lake - Snack Machine,$1.25,,$0.07,$1.18,$1.25
Fedex Sanford - Beverage Machine,$23.50,,$1.28,$22.22,
Fedex Sanford - Snack Machine,$14.30,,$0.73,$13.57,$37.80
GoCo -  GlassFront Machine,$60.50,,$3.29,$57.21,
GoCo - Snack,$13.55,,$0.75,$12.80,$74.05
Hagerty HS - Pepsi Machine #10,$9.00,,$0.51,$8.49,
Hagerty HS - Pepsi Machine #9,$5.25,,$0.21,$5.04,$14.25
Hagerty HS Teacher - Coke Machine Mail Room,$5.00,,$0.28,$4.72,
Hagerty HS Teacher - Snack Machine #13,$2.25,,$0.09,$2.16,
Hagerty HS Teacher - Snack Machine #14,$2.25,,$0.12,$2.13,$9.50
Hajoca - Beverage Machine,$1.50,,$0.08,$1.42,$1.50
Herzing - Beverage Machine 2nd FL,$2.50,,$0.14,$2.36,
Herzing - Snack Machine 2nd FL,$1.25,,$0.07,$1.18,$3.75
Hobby Lobby - Beverage Machine,$5.25,,$0.27,$4.98,
Hobby Lobby - Snack Machine,$1.85,,$0.10,$1.75,$7.10
Hyundai - Snack Machine,$21.90,,$1.16,$20.74,
Hyundai - Soda Machine,$20.25,$0.75,$1.09,$18.41,$41.40
IHeart Media -  Beverage Machine 4th FL,$30.00,,$1.64,$28.36,
IHeart Media - Snack Machine 4th FL,$10.00,,$0.53,$9.47,$40.00
Kelly Nissan - Beverage Machine,$27.50,,$1.47,$26.03,
Kelly Nissan - Snack Machine,$9.80,,$0.55,$9.25,$37.30
L3 Adv Laser Systems - Drink Machine,$0.75,,$0.03,$0.72,
L3 Adv Laser Systems - Snack Machine,$1.80,,$0.08,$1.72,$2.55
L3 Coleman - Beverage Machine Breakroom,$0.75,,$0.04,$0.71,
L3 Coleman - GlassFront Machine,$11.75,,$0.63,$11.12,
L3 Coleman - Snack Machine,$23.85,,$1.22,$22.63,$36.35
Lake Nona Golf Course - Beverage Machine,$29.25,,$1.62,$27.63,
Lake Nona Golf Course - Snack Machine,$9.25,,$0.47,$8.78,$38.50
Loyal Source - Beverage Machine,$1.50,,$0.08,$1.42,
Loyal Source - Snack Machine,$12.50,,$0.67,$11.83,$14.00
MWI - Snack Machine,$39.00,,$2.06,$36.94,$39.00
Major Center 1 - Beverage Machine,$3.00,,$0.16,$2.84,
Major Center 1 - Snack Machine,$3.50,,$0.19,$3.31,$6.50
Major Center 2 - Beverage Machine,$7.25,$1.25,$0.46,$5.54,
Major Center 2 - Snack Machine,$18.50,,$1.00,$17.50,$24.50
Mindful Health - Snack Machine,$2.25,,$0.12,$2.13,$2.25
Mister Car Wash #2 - Snack Machine,$9.25,$1.00,$0.57,$7.68,$8.25
Mitsubishi North - Beverage Machine 4th FL,$0.85,,$0.05,$0.80,
Mitsubishi North - Snack Machine 4th FL,$5.90,,$0.33,$5.57,
Mitsubishi North - Snack Machine 5th FL,$5.25,,$0.28,$4.97,$12.00
Mondelez - Snack Machine,$4.75,,$0.26,$4.49,
Mondelez - Snack Machine,$25.50,,$1.36,$24.14,$30.25
Old Dominion - Beverage Main Breakroom,$37.50,,$2.10,$35.40,
Old Dominion - Pepsi Truckers Lounge,$24.00,,$1.35,$22.65,
Old Dominion - Snack Main Breakroom,$23.00,,$1.24,$21.76,
Old Dominion - Trucker Snack,$16.60,,$0.89,$15.71,$101.10
Old Republic National Title - Snack Machine,$3.50,,$0.19,$3.31,$3.50
OnSight Signs - Beverage Machine,$13.50,,$0.72,$12.78,$13.50
Oracle - Snack Machine,$68.25,$6.50,$2.73,$59.02,$61.75
Orlando Methadone - Snack Machine,$1.25,,$0.07,$1.18,$1.25
Penser - Beverage Machine,$8.25,,$0.44,$7.81,$8.25
ProHealth - Combo Machine,$13.00,$1.00,$0.69,$11.31,$12.00
Product Quess - Beverage Machine Fentress,$13.50,,$0.72,$12.78,$13.50
Product Quest - Coke Machine,$1.50,,$0.08,$1.42,
Product Quest - Generic Beverage Machine,$1.25,,$0.07,$1.18,
Product Quest - Snack Machine Fentress,$11.60,,$0.60,$11.00,$14.35
Reedy Creek Parking Garage - Snack Machine,$66.00,$3.25,$3.55,$59.20,$62.75
Removed From DAVE School GlassFront Machine,$4.00,,$0.22,$3.78,$4.00
Ring Power - Beverage Machine Track Shop,$36.00,,$1.92,$34.08,
Ring Power - Coke Machine Main Breakroom,$9.00,,$0.48,$8.52,
Ring Power - Pepsi Machine Main Breakroom,$6.80,,$0.40,$6.40,
Ring Power - Pepsi Machine Office Parts,$9.00,,$0.48,$8.52,
Ring Power - Pepsi Machine Rental Office,$12.00,$1.50,$0.64,$9.86,
Ring Power - Snack Machin  Main Breakroom,$19.90,,$1.10,$18.80,
Ring Power - Snack Machine Office Parts,$5.65,,$0.36,$5.29,$96.85
Spectra Flooring - Beverage Machine,$17.50,,$0.95,$16.55,
Spectra Flooring - Snack Machine,$4.25,,$0.22,$4.03,$21.75
Subaru - Beverage Machine,$4.50,,$0.24,$4.26,$4.50
Teague Middle School - Beverage Machine,$2.25,,$0.12,$2.13,$2.25
The Mortgage Firm - Beverage Machine,$10.20,,$0.60,$9.60,$10.20
Threshold - Beverage Machine,$6.00,,$0.32,$5.68,$6.00
United Baggage - Coke Machine,$0.75,,$0.03,$0.72,
United Baggage - Pepsi Machine,$15.75,$5.25,$0.63,$9.87,$11.25
United Ops - Beverage machine,$18.00,$1.50,$0.72,$15.78,$16.50


Totals:
