Display Name,Mobile,Discounts,Fee,Net,Total
Old Dominion - Trucker Snack,$22.20,$1.10,$1.20,$19.90,$84.60
Old Republic National Title - Beverage Machine,$2.75,,$0.15,$2.60,
Old Republic National Title - Snack Machine,$6.75,,$0.35,$6.40,$9.50
OnSight Signs - Beverage Machine,$12.00,,$0.64,$11.36,$12.00
Oracle - Snack Machine,$41.00,$4.00,$1.64,$35.36,$37.00
Orlando Methadone - Snack Machine,$1.25,,$0.07,$1.18,$1.25
Penser - Beverage Machine,$6.75,,$0.36,$6.39,$6.75
Pershing - Beverage Machine,$0.75,,$0.04,$0.71,$0.75
ProHealth - Combo Machine,$17.25,,$1.02,$16.23,$17.25
Product Quess - Beverage Machine Fentress,$10.50,,$0.56,$9.94,$10.50
Product Quest - Snack Machine Fentress,$8.05,,$0.42,$7.63,$8.05
Reedy Creek Development - Beverage Machine,$0.75,,$0.04,$0.71,
Reedy Creek Development - Snack Machine,$4.50,$1.25,$0.24,$3.01,$4.00
Reedy Creek Parking Garage - Snack Machine,$70.25,$1.25,$3.76,$65.24,$69.00
Ring Power - Beverage Machine Track Shop,$24.00,,$1.28,$22.72,
Ring Power - Coke Machine Main Breakroom,$27.00,,$1.44,$25.56,
Ring Power - Pepsi Machine Main Breakroom,$6.60,,$0.38,$6.22,
Ring Power - Pepsi Machine Office Parts,$3.85,,$0.21,$3.64,
Ring Power - Pepsi Machine Rental Office,$6.00,,$0.32,$5.68,
Ring Power - Snack Machin  Main Breakroom,$14.60,,$0.80,$13.80,
Ring Power - Snack Machine Office Parts,$8.65,,$0.57,$8.08,$90.70
Spectra Flooring - Beverage Machine,$8.50,,$0.47,$8.03,
Spectra Flooring - Snack Machine,$4.25,,$0.23,$4.02,$12.75
Subaru - Beverage Machine,$1.25,,$0.07,$1.18,$1.25
Teague Middle School - Beverage Machine,$0.75,,$0.04,$0.71,$0.75
The Mortgage Firm - Beverage Machine,$32.75,,$1.87,$30.88,$32.75
Threshold - Beverage Machine,$3.75,,$0.20,$3.55,$3.75
United Baggage - Coke Machine,$0.75,$0.75,$0.03,-$0.03,
United Baggage - Pepsi Machine,$3.00,,$0.12,$2.88,$3.00
United Ops - Beverage machine,$19.50,$3.00,$0.78,$15.72,$16.50


Totals:
