Display Name,Mobile,Discounts,Fee,Net,Total
AKT - Beverage Machine,$6.50,$1.00,$0.34,$5.16,$5.50
Adcomm - Pepsi Machine,$10.50,$1.50,$0.56,$8.44,
Adcomm - Snack Machine,$5.75,,$0.31,$5.44,$14.75
Allstate - Beverage Machine,$8.25,,$0.44,$7.81,
Allstate - Snack Machine,$8.90,,$0.48,$8.42,$17.15
Altamonte Lakeside - Beverage Machine,$5.00,,$0.25,$4.75,
Altamonte Lakeside - Snack Machine,$3.00,,$0.15,$2.85,$8.00
Avella - Pepsi Machine,$7.50,,$0.40,$7.10,
Avella - Snack Machine,$10.75,,$0.71,$10.04,$18.25
Aviation Institute - Cold Food Machine,$3.00,,$0.16,$2.84,$3.00
Bank of NY LM - GlassFront Machine 3rd FL,$3.00,,$0.16,$2.84,$3.00
Bank of NY Rouse - Beverage Machine 2nd FL,$0.75,,$0.03,$0.72,
Bank of NY Rouse - Beverage Machine 3rd FL,$6.75,,$0.36,$6.39,
Bank of NY Rouse - Snack Machine 2nd FL,$3.05,,$0.17,$2.88,
Bank of NY Rouse - Snack Machine 3rd FL,$19.75,$1.25,$0.81,$17.69,$29.05
CDM - Beverage Machine 3rd FL,$1.70,,$0.10,$1.60,
CDM - Snack Machine 3rd FL,$14.35,,$0.75,$13.60,$16.05
Center Pointe 1 -  Snack Machine,$1.00,,$0.05,$0.95,$1.00
Center Pointe 2 - Beverage Machine,$10.00,,$0.50,$9.50,
Center Pointe 2 - Snack Machine,$7.75,,$0.41,$7.34,$17.75
Central FL Chrysler - Snack Machine Maintenance,$3.75,,$0.19,$3.56,$3.75
Coca-Cola Apopka - Snack Machine Receiving Office,$2.90,,$0.15,$2.75,$2.90
Cuhaci & Peterson - Snack Machine,$27.20,$2.00,$1.47,$23.73,$25.20
DAVE School - Beverage Machine 1st FL,$2.55,,$0.15,$2.40,
DAVE School - Beverage Machine 2nd FL,$1.10,,$0.06,$1.04,
DAVE School - GlassFront Machine 3rd FL,$14.50,,$0.80,$13.70,
DAVE School - Snack Machine 2nd FL,$1.25,,$0.07,$1.18,
DAVE School - Snack Machine 3rd FL,$1.25,,$0.07,$1.18,$20.65
DBKMSN - Beverage Machine 2nd FL,$3.45,,$0.19,$3.26,
DBKMSN - Combo Machine 2nd FL,$4.75,,$0.26,$4.49,$8.20
DBKSMN - Snack Machine 2nd FL,$2.00,,$0.10,$1.90,$2.00
EZ Car Rental - Beverage Machine,$3.00,,$0.16,$2.84,
EZ Car Rental - Snack Machine,$6.15,,$0.33,$5.82,$9.15
Fast Mile - Beverage Machine,$43.50,$7.50,$1.74,$34.26,
Fast Mile - Snack Machine,$26.00,$2.25,$1.04,$22.71,
Fast Mile - Snack Machine,$26.00,$2.25,$1.04,$22.71,$59.75
Fedex Bennet - Beverage Machine,$0.75,,$0.04,$0.71,$0.75
Fedex Sand Lake - Snack Machine,$2.25,,$0.12,$2.13,$2.25
Fedex Sanford - Beverage Machine,$27.00,,$1.48,$25.52,
Fedex Sanford - Snack Machine,$17.50,,$0.91,$16.59,$44.50
GoCo -  GlassFront Machine,$31.00,,$1.68,$29.32,
GoCo - Snack,$36.35,,$2.01,$34.34,$67.35
Hagerty HS - Pepsi Machine #10,$5.75,$3.75,$0.32,$1.68,
Hagerty HS - Pepsi Machine #9,$7.00,,$0.28,$6.72,$9.00
Hagerty HS Teacher - Coke Machine #7,$2.50,,$0.10,$2.40,
Hagerty HS Teacher - Coke Machine Mail Room,$5.00,,$0.28,$4.72,
Hagerty HS Teacher - Snack Machine #13,$2.25,,$0.09,$2.16,
Hagerty HS Teacher - Snack Machine #14,$3.75,,$0.21,$3.54,$13.50
Herzing - Beverage Machine 2nd FL,$4.50,$1.50,$0.24,$2.76,
Herzing - GlassFront Machine 1st FL,$8.00,,$0.43,$7.57,
Herzing - Snack Machine 1st FL,$1.25,,$0.07,$1.18,
Herzing - Snack Machine 2nd FL,$16.00,$1.00,$0.89,$14.11,$27.25
Hobby Lobby - Beverage Machine,$6.00,,$0.31,$5.69,
Hobby Lobby - Snack Machine,$4.75,,$0.25,$4.50,$10.75
Hyundai - Snack Machine,$8.75,,$0.46,$8.29,
Hyundai - Soda Machine,$18.75,,$1.02,$17.73,$27.50
IHeart Media -  Beverage Machine 3rd FL,$1.50,,$0.08,$1.42,
IHeart Media -  Beverage Machine 4th FL,$38.50,,$2.20,$36.30,
IHeart Media - Snack Machine 4th FL,$7.25,,$0.37,$6.88,$47.25
Kelly Nissan - Beverage Machine,$21.75,,$1.16,$20.59,
Kelly Nissan - Snack Machine,$16.90,,$0.89,$16.01,$38.65
L3 Adv Laser Systems - Drink Machine,$2.25,,$0.09,$2.16,
L3 Adv Laser Systems - Snack Machine,$3.80,$1.00,$0.16,$2.64,$5.05
L3 Coleman - Beverage Machine Breakroom,$7.50,,$0.40,$7.10,
L3 Coleman - GlassFront Machine,$21.00,,$1.18,$19.82,
L3 Coleman - Snack Machine,$28.60,,$1.45,$27.15,$57.10
Lake Nona Golf Course - Beverage Machine,$51.25,,$2.95,$48.30,
Lake Nona Golf Course - Snack Machine,$8.50,,$0.45,$8.05,$59.75
Loyal Source - Beverage Machine,$2.50,,$0.14,$2.36,
Loyal Source - Snack Machine,$5.50,,$0.29,$5.21,$8.00
MWI - Snack Machine,$30.30,,$1.61,$28.69,$30.30
Major Center 2 - Beverage Machine,$7.50,,$0.40,$7.10,
Major Center 2 - Snack Machine,$11.70,,$0.62,$11.08,$19.20
Mindful Health - Snack Machine,$18.50,$1.00,$0.98,$16.52,$17.50
Mister Car Wash #3 - Snack Machine,$1.00,,$0.05,$0.95,$1.00
Mitsubishi North - Beverage Machine 5th FL,$7.50,,$0.40,$7.10,
Mitsubishi North - Snack Machine 4th FL,$1.25,,$0.07,$1.18,
Mitsubishi North - Snack Machine 5th FL,$8.50,$2.00,$0.46,$6.04,$15.25
Mondelez - Snack Machine,$7.00,,$0.38,$6.62,
Mondelez - Snack Machine,$16.50,,$0.88,$15.62,$23.50
Old Dominion - Beverage Main Breakroom,$24.00,,$1.35,$22.65,
Old Dominion - Pepsi Truckers Lounge,$22.25,,$1.25,$21.00,
Old Dominion - Snack Main Breakroom,$5.20,,$0.28,$4.92,
Old Dominion - Trucker Snack,$18.45,$1.10,$1.00,$16.35,$68.80
Old Republic National Title - Beverage Machine,$1.50,,$0.08,$1.42,
Old Republic National Title - Snack Machine,$1.75,,$0.09,$1.66,$3.25
OnSight Signs - Beverage Machine,$3.00,,$0.16,$2.84,$3.00
Oracle - Snack Machine,$74.50,$7.75,$2.98,$63.77,$66.75
Penser - Beverage Machine,$4.25,,$0.23,$4.02,$4.25
Pershing - Beverage Machine,$1.50,,$0.08,$1.42,
Pershing - GlassFront Machine,$2.75,,$0.15,$2.60,$4.25
ProHealth - Combo Machine,$3.00,,$0.16,$2.84,$3.00
Product Quess - Beverage Machine Fentress,$12.00,,$0.64,$11.36,$12.00
Product Quest - Snack Machine Fentress,$12.35,,$0.65,$11.70,$12.35
Reedy Creek Development - Beverage Machine,$0.75,,$0.04,$0.71,
Reedy Creek Development - Snack Machine,$11.75,,$0.64,$11.11,$12.50
Reedy Creek Parking Garage - Snack Machine,$73.00,$1.00,$3.92,$68.08,$72.00
Removed From Brookdale,$0.75,,$0.04,$0.71,$0.75
Ring Power - Beverage Machine Track Shop,$55.50,,$3.04,$52.46,
Ring Power - Coke Machine Main Breakroom,$17.00,,$0.91,$16.09,
Ring Power - Pepsi Machine Main Breakroom,$16.00,,$0.92,$15.08,
Ring Power - Pepsi Machine Office Parts,$4.70,,$0.26,$4.44,
Ring Power - Pepsi Machine Rental Office,$12.00,,$0.64,$11.36,
Ring Power - Snack Machin  Main Breakroom,$19.95,$1.25,$1.10,$17.60,
Ring Power - Snack Machine Office Parts,$8.00,,$0.44,$7.56,$131.90
Spectra Flooring - Beverage Machine,$8.50,,$0.47,$8.03,
Spectra Flooring - Snack Machine,$3.25,,$0.17,$3.08,$11.75
Subaru - Beverage Machine,$3.75,,$0.20,$3.55,$3.75
Teague Middle School - Beverage Machine,$0.75,,$0.04,$0.71,$0.75
The Mortgage Firm - Beverage Machine,$42.80,,$2.47,$40.33,$42.80
Threshold - Beverage Machine,$0.75,,$0.04,$0.71,$0.75
United Baggage - Coke Machine,$2.25,,$0.09,$2.16,
United Baggage - Pepsi Machine,$16.00,,$0.64,$15.36,$18.25
United Ops - Beverage machine,$25.50,$4.50,$1.02,$19.98,$21.00
United Ticketing - Beverage Machine,$0.75,,$0.04,$0.71,
United Ticketing - Snack Machine,$3.00,,$0.15,$2.85,$3.75


Totals:
