Device ID,Location,City,State,Zip Code,Display Name,Machine ID,Tags,Mobile (#),Mobile (%),Mobile,Cash,Card,Total,Fee,Discounts,Loyalty,Promotions (!),Net
20009264,"
3707 West Colonial Drive
Orlando
FL
32808
",Orlando,FL,32808,GoCo - Snack,2156,promo,37,75.1,$36.35 ,$12.05 ,$0.00 ,$48.40 ,$2.01 ,$0.00 ,$0.00 ,$0.00 ,$34.34 
20009265,"6545 Corporate Centre Blvd
Orlando
FL
32822
",Orlando,FL,32822,Old republic National Title -  Snack Machine,2116,promo,2,4.22,$1.75 ,$22.50 ,$17.25 ,$41.50 ,$0.09 ,$0.00 ,$0.00 ,$0.00 ,$1.66 
20009266,"12612 Challenger Parkway
Suite 365
Orlando
FL
32826
",Orlando,FL,32826,Loyal Source - Coke Stacker,2150,promo,1,13.16,$2.50 ,$1.50 ,$15.00 ,$19.00 ,$0.14 ,$0.00 ,$0.00 ,$0.00 ,$2.36 
20009267,"2101 Park Center Dr
Orlando
FL
32835
",Orlando,FL,32835,Telespeak - Cold Food Machine,2185,promo,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
20009268,"""Northrop Grumman
2721 Discovery Dr, Suite 100
Orlando
FL
32826
""",Orlando,FL,32826,Northrop Grumman - Snack Machine,2018,promo,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
20009269,"""
2721 Discovery Drive, Suite 100
Orlando
FL
32826
""",Orlando,FL,32826,Northrop Grumman -  Soda Machine,2177,promo,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
20009270,"Breakroom
9080 Boggy Creek Road
Orlando
FL
32824
",Orlando,FL,32824,MWI Snack Machine,2361,promo,29,50.58,$30.30 ,$29.60 ,$0.00 ,$59.90 ,$1.61 ,$0.00 ,$0.00 ,$0.00 ,$28.69 
20009271,"921 Douglas Ave
Altamonte Springs
FL
",Altamonte Springs,FL,,The Mortgage Firm - Coke Beverage Machine,N/A,promo,39,47.4,$42.80 ,$47.50 ,$0.00 ,$90.30 ,$2.47 ,$0.00 ,$0.00 ,$0.00 ,$40.33 
20009272,"8394 Bear Rd
Orlando
32827
",Orlando,32827,,ASIG Office - Beverage Machine,2343,promo,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
20009273,"6375 S Semoran Blvd
Orlando
32822
",Orlando,32822,,ADT Breakroom - Snack Machine,2298,promo,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
20009274,"I heart Media
2600 Maitland Center Parkway
Maitland
FL
32746
",Maitland,FL,32746,I Heart Media 3rd Fl Pepsi Machine,3055,promo,1,14.29,$1.50 ,$9.00 ,$0.00 ,$10.50 ,$0.08 ,$0.00 ,$0.00 ,$0.00 ,$1.42 
20009275,"9200 Lake Nona Club Drive
Orlando
32827
",Orlando,32827,,Lake Nona Golf Course Break Room -  Pepsi Beverage,2277,promo,44,62.12,$51.25 ,$31.25 ,$0.00 ,$82.50 ,$2.95 ,$0.00 ,$0.00 ,$0.00 ,$48.30 
20009276,"
1865 Florida 436
Winter Park
FL
32792
",Winter Park,FL,32792,Herzing - Snack Upstairs,2493,promo,13,100,$16.00 ,$0.00 ,$0.00 ,$16.00 ,$0.89 ,$1.00 ,$0.00 ,$0.00 ,$14.11 
