Display Name,Mobile,Discounts,Fee,Net,Total
Mister Car Wash # 3 -  Snack Vending Machine,$1.00 ,,$0.05 ,$0.95 ,$1.00 
Mitsubishi 4Th Fl Snack,$1.25 ,,$0.07 ,$1.18 ,
Mitsubishi 5Th Fl Coke,$7.50 ,,$0.40 ,$7.10 ,
Mitsubishi 5Th Fl Snack,$8.50 ,$2.00 ,$0.46 ,$6.04 ,$15.25 
Mondelez - Snack,$7.00 ,,$0.38 ,$6.62 ,
Mondelez - Snack,$16.50 ,,$0.88 ,$15.62 ,$23.50 
Mwi Snack Machine,$30.30 ,,$1.61 ,$28.69 ,$30.30 
Old Dominion - Beverage Main Breakroom,$24.00 ,,$1.35 ,$22.65 ,
Old Dominion - Pepsi Truckers Lounge,$22.25 ,,$1.25 ,$21.00 ,
Old Dominion - Snack Main Breakroom,$5.20 ,,$0.28 ,$4.92 ,
Old Dominion - Trucker Snack,$18.45 ,$1.10 ,$1.00 ,$16.35 ,$68.80 
Old Republic National Title -  Snack Machine,$1.75 ,,$0.09 ,$1.66 ,
Old Republic Title - Beverage Machine,$1.50 ,,$0.08 ,$1.42 ,$3.25 
Onsight Signs - Pepsi Beverage Machine,$3.00 ,,$0.16 ,$2.84 ,$3.00 
Oracle - Snack,$74.50 ,$7.75 ,$2.98 ,$63.77 ,$66.75 
Penser Breakroom - Pepsi Beverage Machine,$4.25 ,,$0.23 ,$4.02 ,$4.25 
Pershing - Soda Machine ,$1.50 ,,$0.08 ,$1.42 ,
Pershing Coke Glass,$2.75 ,,$0.15 ,$2.60 ,$4.25 
Product Quess Fentress - Pepsi Machine,$12.00 ,,$0.64 ,$11.36 ,
Product Quest Fentress - Snack,$12.35 ,,$0.65 ,$11.70 ,
Prohealth Combo Vending Machine,$3.00 ,,$0.16 ,$2.84 ,$27.35 
Reedy Creek  Garage Snack Machine,$73.00 ,$1.00 ,$3.92 ,$68.08 ,
Reedy Creek - Pepsi Beverage Machine,$0.75 ,,$0.04 ,$0.71 ,
Reedy Creek Improvement - Snack Machine,$11.75 ,,$0.64 ,$11.11 ,$84.50 
Ring Power - Office Pepsi,$4.70 ,,$0.26 ,$4.44 ,
Ring Power - Track Shop,$55.50 ,,$3.04 ,$52.46 ,
Ring Power Main Break Room Coke,$17.00 ,,$0.91 ,$16.09 ,
Ring Power Main Breakroom - Snack Machine,$19.95 ,$1.25 ,$1.10 ,$17.60 ,
Ring Power Main Breaktoom Pepsi Stacker,$16.00 ,,$0.92 ,$15.08 ,
Ring Power Office Snack,$8.00 ,,$0.44 ,$7.56 ,
Ring Power Rental Office - Pepsi,$12.00 ,,$0.64 ,$11.36 ,$131.90 
Spectra Flooring - Beverage Machine,$8.50 ,,$0.47 ,$8.03 ,
Spectra Flooring - Snack Machine,$3.25 ,,$0.17 ,$3.08 ,$11.75 
Subaru Drink,$3.75 ,,$0.20 ,$3.55 ,$3.75 
Teague Middle School - Beverage Machine,$0.75 ,,$0.04 ,$0.71 ,$0.75 
The Mortgage Firm - Coke Beverage Machine,$42.80 ,,$2.47 ,$40.33 ,$42.80 
Threshold - Drink Machine,$0.75 ,,$0.04 ,$0.71 ,$0.75 
United Baggage - Pepsi,$16.00 ,,$0.64 ,$15.36 ,
United Baggage - Soda,$2.25 ,,$0.09 ,$2.16 ,
United Ops Beverage Machine,$25.50 ,$4.50 ,$1.02 ,$19.98 ,
United Ticketing - Cold Drinks Machine,$0.75 ,,$0.04 ,$0.71 ,
United Ticketing - Snack Machine,$3.00 ,,$0.15 ,$2.85 ,$43.00 
,,,,,
,,,,,
Totals:,"$1,329.45 ",$41.35 ,$69.15 ,"$1,218.95 ","$1,288.10 "
